variable,description
LACCESS_POP10,"Population, low access to store, 2010"
LACCESS_POP15,"Population, low access to store, 2015"
PCH_LACCESS_POP_10_15,"Population, low access to store (% change), 2010 -15"
PCT_LACCESS_POP10,"Population, low access to store (%), 2010"
PCT_LACCESS_POP15,"Population, low access to store (%), 2015"
LACCESS_LOWI10,"Low income & low access to store, 2010"
LACCESS_LOWI15,"Low income & low access to store, 2015"
PCH_LACCESS_LOWI_10_15,"Low income & low access to store (% change), 2010 - 15"
PCT_LACCESS_LOWI10,"Low income & low access to store (%), 2010"
PCT_LACCESS_LOWI15,"Low income & low access to store (%), 2015"
LACCESS_HHNV10,"Households, no car & low access to store, 2010"
LACCESS_HHNV15,"Households, no car & low access to store, 2015"
PCH_LACCESS_HHNV_10_15,"Households, no car & low access to store (% change), 2010 - 15"
PCT_LACCESS_HHNV10,"Households, no car & low access to store (%), 2010"
PCT_LACCESS_HHNV15,"Households, no car & low access to store (%), 2015"
LACCESS_SNAP15,"SNAP households, low access to store, 2015"
PCT_LACCESS_SNAP15,"SNAP households, low access to store (%), 2015"
LACCESS_CHILD10,"Children, low access to store, 2010"
LACCESS_CHILD15,"Children, low access to store, 2015"
PCH_LACCESS_CHILD_10_15,"Children, low access to store (% change), 2010 - 15"
PCT_LACCESS_CHILD10,"Children, low access to store (%), 2010"
PCT_LACCESS_CHILD15,"Children, low access to store (%), 2015"
LACCESS_SENIORS10,"Seniors, low access to store, 2010"
LACCESS_SENIORS15,"Seniors, low access to store, 2015"
PCH_LACCESS_SENIORS_10_15,"Seniors, low access to store (% change), 2010 -15"
PCT_LACCESS_SENIORS10,"Seniors, low access to store (%), 2010"
PCT_LACCESS_SENIORS15,"Seniors, low access to store (%), 2015"
LACCESS_WHITE15,"White, low access to store, 2015"
PCT_LACCESS_WHITE15,"White, low access to store (%), 2015"
LACCESS_BLACK15,"Black, low access to store, 2015"
PCT_LACCESS_BLACK15,"Black, low access to store (%), 2015"
LACCESS_HISP15,"Hispanic ethnicity, low access to store, 2015"
PCT_LACCESS_HISP15,"Hispanic ethnicity, low access to store (%), 2015"
LACCESS_NHASIAN15,"Asian, low access to store, 2015"
PCT_LACCESS_NHASIAN15,"Asian, low access to store (%), 2015"
LACCESS_NHNA15,"American Indian or Alaska Native, low access to store, 2015"
PCT_LACCESS_NHNA15,"American Indian or Alaska Native, low access to store (%), 2015"
LACCESS_NHPI15,"Hawaiian or Pacific Islander, low access to store, 2015"
PCT_LACCESS_NHPI15,"Hawaiian or Pacific Islander, low access to store (%), 2015"
LACCESS_MULTIR15,"Multiracial, low access to store, 2015"
PCT_LACCESS_MULTIR15,"Multiracial, low access to store (%), 2015"
GROC11,"Grocery stores, 2011"
GROC16,"Grocery stores, 2016"
PCH_GROC_11_16,"Grocery stores (% change), 2011-16"
GROCPTH11,"Grocery stores/1,000 pop, 2011"
GROCPTH16,"Grocery stores/1,000 pop, 2016"
PCH_GROCPTH_11_16,"Grocery stores/1,000 pop (% change), 2011-16"
SUPERC11,"Supercenters & club stores, 2011"
SUPERC16,"Supercenters & club stores, 2016"
PCH_SUPERC_11_16,"Supercenters & club stores (% change), 2011-16"
SUPERCPTH11,"Supercenters & club stores/1,000 pop, 2011"
SUPERCPTH16,"Supercenters & club stores/1,000 pop, 2016"
PCH_SUPERCPTH_11_16,"Supercenters & club stores/1,000 pop (% change), 2011-16"
CONVS11,"Convenience stores, 2011"
CONVS16,"Convenience stores, 2016"
