ID,Health literacy estimate
10010201001,248.91
10010201002,248.66
10010202001,233.55
10010202002,238.55
10010203001,247.96
10010203002,238.63
10010204001,256.22
10010204002,253.87
10010204003,253.35
10010204004,247.64
10010205001,255.64
10010205002,257.61
10010205003,255.62
10010206001,254.4
10010206002,233.99
10010207001,240.8
10010207002,245.21
10010208011,249.14
10010208012,257.68
10010208021,242.62
10010208022,261.46
10010208023,248.6
10010208024,254.52
10010209001,239.13
10010209002,251.62
10010209003,247.71
10010209004,253.55
10010210001,237.62
10010210002,243.38
10010211001,225.47
10010211002,220.79
10010211003,235.46
10030101001,226.0
10030101002,243.24
10030101003,244.24
10030102001,240.62
10030102002,247.98
10030103001,236.81
10030103002,254.03
10030103003,250.64
10030104001,250.36
10030104002,246.67
10030104003,246.86
10030105001,241.06
10030105002,238.59
10030105003,252.74
10030105004,243.08
10030106001,214.29
10030106002,222.54
10030106003,237.09
10030107011,257.65
10030107012,260.14
10030107013,253.45
10030107014,240.86
10030107031,260.24
10030107032,257.97
10030107041,255.96
10030107042,259.19
10030107051,249.09
10030107052,257.86
10030107053,250.23
10030108001,240.35
10030108002,260.37
10030108003,241.5
10030109031,239.89
10030109032,250.75
10030109033,237.82
10030109041,243.95
10030109042,241.39
10030109043,247.9
10030109051,251.15
10030109052,246.45
10030109053,248.95
10030109061,245.96
10030109062,246.32
10030109063,248.58
10030110001,237.99
10030110002,241.3
10030111011,258.23
10030111012,247.25
10030111013,249.56
10030111021,249.09
10030111022,255.55
10030112011,259.67
10030112012,249.28
10030112021,229.54
10030112022,250.31
10030112023,244.3
10030112024,247.81
10030113001,248.47
10030113002,247.48
10030113003,255.99
10030113004,251.21
10030114011,240.88
10030114012,250.02
10030114013,243.91
10030114014,244.74
10030114015,241.88
10030114031,255.52
10030114032,252.53
10030114033,244.62
10030114051,256.5
10030114052,256.35
10030114061,256.37
10030114062,257.04
10030114063,255.96
10030114071,254.63
10030114072,250.61
10030114073,250.07
10030114081,250.47
10030115011,248.06
10030115012,240.05
10030115013,239.6
10030115021,240.04
10030115022,237.58
10030115023,227.67
10030115024,244.06
10030116011,249.66
10030116012,245.21
10030116013,243.47
10030116014,251.83
10030116021,238.07
10030116022,242.79
10030116023,241.42
10030116024,240.15
10059501001,215.72
10059501002,227.43
10059501003,238.31
10059502001,216.19
10059502002,223.18
10059502003,222.99
10059503001,229.91
10059503002,216.93
10059504001,235.48
10059504002,222.97
10059504003,219.26
10059505001,239.96
10059505002,232.2
10059505003,232.49
10059506001,215.63
10059506002,239.43
10059507001,232.56
10059507002,223.83
10059508001,230.33
10059508002,242.63
10059509001,247.19
10059509002,225.12
10059509003,207.73
10070100011,240.93
10070100012,243.12
10070100021,250.78
10070100022,254.71
10070100023,249.39
10070100031,240.99
10070100032,237.23
10070100033,241.53
10070100034,240.09
10070100041,252.64
10070100042,237.67
10070100043,234.4
10070100044,223.3
10070100045,226.61
10070100046,237.05
10090501011,236.93
10090501012,240.86
10090501013,237.17
10090501014,249.66
10090501015,243.87
10090501021,244.81
10090501022,234.06
10090501023,234.22
10090501024,244.03
10090502001,243.14
10090502002,246.35
10090503001,237.07
10090503002,246.03
10090503003,241.22
10090503004,244.13
10090504001,239.51
10090504002,239.56
10090504003,244.45
10090504004,245.13
10090505001,242.75
10090505002,243.01
10090505003,241.74
10090505004,250.67
10090505005,248.45
10090506011,251.44
10090506012,247.83
10090506021,246.2
10090506022,257.56
10090506023,253.94
10090506024,252.62
10090506025,249.62
10090507001,247.2
10090507002,241.55
10090507003,255.64
10090507004,249.65
10119521001,212.14
10119522001,220.27
10119522002,214.42
10119522003,214.4
10119525001,234.49
10119525002,220.6
10119525003,231.35
10139527001,226.98
10139527002,228.76
10139528001,245.95
10139529001,240.07
10139529002,220.91
10139530001,231.59
10139530002,234.72
10139531001,218.07
10139531002,214.15
10139531003,228.33
10139532001,234.84
10139532002,222.22
10139532003,232.65
10139532004,248.99
10139533001,239.55
10139533002,244.43
10139534001,212.7
10139534002,226.34
10139535001,232.98
10150002001,232.14
10150002002,234.71
10150003001,215.14
10150003002,212.7
10150004001,227.69
10150004002,231.64
10150004003,213.64
10150005001,216.96
10150005002,210.43
10150006001,221.07
10150006002,215.56
10150007001,240.65
10150007002,229.55
10150007003,245.95
10150008001,229.87
10150009001,248.8
10150009002,252.06
10150009003,237.93
10150010001,254.09
10150010002,245.15
10150010003,244.65
10150010004,241.81
10150011001,239.12
10150011002,253.2
10150011003,238.27
10150011004,248.94
10150012011,240.11
10150012012,227.92
10150012021,244.79
10150012022,244.86
10150012023,241.33
10150013001,236.75
10150013002,241.47
10150014001,225.58
10150014002,244.22
10150014003,244.58
10150014004,238.11
10150015001,241.66
10150015002,245.64
10150015003,246.0
10150016001,243.2
10150016002,247.84
10150016003,237.27
10150016004,240.84
10150017001,239.46
10150017002,244.96
10150017003,244.08
10150017004,237.13
10150018001,242.3
10150018002,246.89
10150018003,250.51
10150018004,252.84
10150018005,241.84
10150018006,249.35
10150020001,259.47
10150020002,252.4
10150020003,249.47
10150020004,253.07
10150020005,246.9
10150021011,251.1
10150021012,241.24
10150021021,260.47
10150021022,250.55
10150021023,256.96
10150021031,241.06
10150021032,243.94
10150021033,243.79
10150022001,245.9
10150022002,247.5
10150022003,245.75
10150022004,246.08
10150023001,244.59
10150023002,241.0
10150023003,243.39
10150023004,235.18
10150024001,248.46
10150024002,251.68
10150025011,244.96
10150025012,248.69
10150025013,245.84
10150025014,253.46
10150025021,246.51
10150025022,249.87
10150025023,254.61
10150025024,245.19
10150026001,247.04
10150026002,251.67
10150026003,244.48
10159819011,260.34
10159819021,234.09
10179538001,235.09
10179538002,232.96
10179538003,225.2
10179539001,241.04
