TRACTFIPS,ACCESS2,ARTHRITIS,BINGE,BPHIGH,BPMED,CANCER,CASTHMA,CERVICAL,CHD,CHECKUP,CHOLSCREEN,COLON_SCREEN,COPD,COREM,COREW,CSMOKING,DENTAL,DEPRESSION,DIABETES,GHLTH,HIGHCHOL,KIDNEY,LPA,MAMMOUSE,MHLTH,OBESITY,PHLTH,SLEEP,STROKE,TEETHLOST
1001020100,15.0,29.1,15.8,38.8,76.0,6.2,9.8,83.5,6.6,74.1,86.6,70.8,8.1,44.0,42.8,19.3,63.4,25.9,10.7,17.3,35.6,2.9,26.4,76.8,16.4,37.0,11.3,36.9,3.1,14.6
1001020200,19.9,28.2,14.1,43.6,75.8,5.0,10.9,84.6,5.9,76.5,87.3,70.9,7.6,37.5,37.4,21.9,55.6,23.9,13.4,21.6,32.7,3.1,32.1,81.0,17.3,43.9,12.1,43.4,3.7,19.4
1001020300,16.7,29.3,15.5,39.6,76.0,6.2,10.1,82.6,6.7,74.3,85.9,70.8,8.3,42.4,40.5,20.1,61.1,26.2,11.3,18.5,35.0,3.0,28.2,76.9,17.0,37.9,11.6,38.1,3.3,16.2
1001020400,12.5,30.6,15.2,39.2,78.9,8.0,8.8,85.9,7.1,75.5,89.6,75.5,7.2,49.8,46.3,14.8,70.3,24.0,10.2,14.2,37.7,2.9,23.0,75.5,14.0,33.2,9.8,33.4,3.0,10.9
1001020500,12.8,25.3,16.4,34.6,73.2,5.8,9.2,86.0,5.2,73.5,87.6,72.7,5.9,47.3,44.1,15.7,68.4,24.5,8.7,13.4,32.7,2.4,22.2,77.8,15.2,34.8,9.1,35.7,2.4,11.1
1001020600,18.0,30.7,14.9,41.9,76.3,5.9,10.6,82.3,7.5,74.6,85.5,68.2,9.7,40.5,37.5,23.0,56.1,26.9,12.8,21.9,35.6,3.4,31.1,77.5,17.9,41.1,13.5,39.5,3.8,19.3
1001020700,19.6,31.8,14.9,42.0,76.0,6.0,11.0,80.2,7.7,74.0,85.1,66.5,10.9,39.1,36.8,25.3,53.5,28.5,12.8,23.6,36.1,3.4,33.4,76.0,19.1,41.0,14.5,39.8,4.0,21.5
1001020801,12.7,27.5,16.6,37.1,75.5,6.1,9.2,85.6,5.9,73.9,89.2,73.0,6.7,45.9,44.5,16.6,68.4,24.6,9.7,14.2,35.3,2.6,22.8,78.5,15.1,35.7,9.8,35.8,2.7,11.2
1001020802,14.7,27.9,16.3,38.1,74.9,5.7,9.7,84.5,6.0,73.6,87.2,70.9,7.5,43.7,42.6,19.6,63.6,25.8,10.4,16.5,34.6,2.7,25.8,77.9,16.4,37.9,10.9,37.7,2.9,13.7
1001020900,14.6,27.2,16.9,36.9,74.7,5.9,9.3,84.9,5.8,73.2,87.2,72.0,7.0,45.2,43.1,18.4,65.9,25.2,9.8,15.2,34.5,2.5,24.6,77.6,15.9,36.1,10.1,37.0,2.8,13.0
1001021000,16.5,31.2,14.9,42.6,77.4,6.2,10.3,83.1,7.3,75.2,86.9,69.7,9.2,40.1,38.9,21.8,58.9,25.9,12.8,20.5,36.5,3.3,29.8,77.6,17.0,40.3,12.8,39.2,3.8,17.8
1001021100,21.1,34.4,12.5,50.3,79.6,6.1,11.5,81.8,8.7,78.3,87.4,68.6,11.0,34.8,34.0,25.2,50.3,24.5,17.4,27.7,37.4,4.2,37.2,79.2,17.7,46.1,15.4,43.8,5.3,24.8
1003010100,17.8,33.8,14.9,41.9,78.1,7.0,10.0,83.8,8.0,75.5,87.7,70.6,9.5,50.6,36.5,21.6,59.2,25.9,13.8,21.0,37.7,3.4,29.6,77.6,16.9,36.2,13.0,37.6,4.0,16.5
1003010200,18.3,34.1,15.4,40.7,76.5,6.6,10.6,81.8,8.3,74.1,85.6,66.9,11.0,48.3,34.7,24.8,54.8,28.7,13.7,23.2,37.1,3.5,31.3,75.8,18.7,37.5,14.6,37.9,4.1,19.1
1003010300,15.2,30.0,15.9,37.5,76.0,6.5,9.6,85.5,6.9,75.0,88.1,71.6,7.7,53.2,39.6,18.1,64.0,25.4,11.5,17.0,35.1,2.9,25.3,78.4,16.3,33.9,11.0,36.0,3.2,13.4
1003010400,16.1,30.8,16.8,36.7,75.2,6.6,9.6,84.2,6.9,73.0,87.2,70.3,8.6,52.9,39.2,20.6,62.3,27.0,11.2,17.8,36.2,2.9,26.0,77.1,16.8,33.7,11.8,35.4,3.2,14.1
1003010500,15.7,31.2,15.9,38.1,76.3,7.1,9.3,83.9,7.2,74.7,88.3,71.4,8.2,53.5,37.9,18.4,63.0,25.1,11.6,17.5,35.7,3.1,26.1,77.1,15.9,33.6,11.3,35.6,3.4,13.5
1003010600,24.0,32.7,13.3,45.3,75.9,5.3,12.2,80.9,7.6,76.9,85.0,64.8,10.8,43.7,30.8,27.9,46.1,26.9,16.7,29.1,34.1,3.8,37.8,79.0,20.2,44.1,16.0,44.1,4.9,25.6
1003010701,10.3,30.6,15.7,36.0,78.0,8.0,8.3,88.2,6.5,75.8,91.0,74.2,6.1,59.7,42.8,12.7,73.6,23.2,9.9,12.4,37.2,2.7,19.7,79.0,13.1,29.8,9.0,31.4,2.7,8.0
1003010703,11.2,25.1,18.0,30.9,72.3,5.9,8.7,88.0,4.8,72.9,89.0,74.2,5.1,58.7,45.3,13.8,72.2,24.6,8.3,11.3,32.5,2.1,18.5,79.9,14.6,30.9,8.2,33.4,2.1,7.5
1003010704,13.6,31.0,16.1,37.5,76.4,6.6,9.5,84.8,7.0,74.4,87.7,69.6,8.0,53.8,39.3,18.6,63.4,26.1,11.6,17.0,35.8,3.0,25.0,78.6,16.2,34.9,11.5,35.4,3.2,12.5
1003010705,12.3,27.7,16.8,34.2,74.9,6.4,9.0,86.1,5.8,74.2,88.2,73.0,6.2,56.6,41.0,14.8,68.5,24.7,9.9,13.6,33.4,2.6,21.4,79.5,15.1,32.2,9.4,34.3,2.7,9.8
1003010800,13.1,34.2,13.7,42.5,80.4,7.8,9.5,85.6,7.9,77.9,90.4,73.4,8.2,53.3,38.9,15.8,65.2,23.7,13.8,18.0,38.2,3.5,25.3,79.9,14.6,35.1,11.5,35.1,3.8,12.2
1003010903,18.1,28.3,17.2,36.8,72.9,5.6,9.6,83.2,6.3,72.7,86.3,69.6,8.0,51.0,38.2,21.4,58.9,25.9,11.3,18.6,33.7,2.8,27.0,77.1,17.1,35.9,11.6,37.6,3.1,15.3
1003010904,17.4,33.2,16.1,39.1,76.3,6.8,10.0,82.8,7.9,73.4,85.7,67.5,10.1,50.6,37.1,22.8,58.4,27.9,12.6,20.7,37.5,3.2,28.7,76.0,17.6,35.5,13.4,36.2,3.7,16.4
1003010905,17.1,28.7,17.0,34.6,73.7,6.1,9.4,84.0,6.4,72.6,86.0,69.8,7.8,53.1,38.9,19.4,61.9,26.7,10.4,17.0,33.8,2.7,25.9,77.0,17.0,33.9,11.1,35.6,2.9,13.9
1003010906,17.9,33.1,15.8,38.8,76.6,7.1,9.9,82.5,7.9,73.8,85.3,69.0,9.8,51.4,35.3,21.9,58.6,27.6,12.2,20.4,36.6,3.3,29.5,75.6,17.6,35.0,13.1,36.2,3.7,16.8
1003011000,19.3,34.2,15.3,40.8,77.4,7.0,10.1,82.7,8.5,74.2,86.6,68.3,10.6,49.8,36.8,23.0,56.7,27.5,13.7,22.3,38.0,3.5,30.6,76.0,17.6,36.6,14.0,36.7,4.0,17.7
1003011101,11.3,31.6,15.2,36.7,78.5,8.4,8.5,87.9,7.0,76.1,90.9,75.8,6.6,59.4,43.4,12.7,72.4,23.6,10.4,13.2,37.2,2.9,20.4,78.5,13.4,30.0,9.4,31.5,2.9,8.5
1003011102,12.1,29.0,16.6,34.7,75.9,7.0,8.7,87.4,6.1,74.3,90.0,73.5,6.4,57.9,43.1,14.6,70.5,24.4,9.8,13.4,35.7,2.6,20.8,78.5,14.3,31.3,9.4,32.8,2.6,9.2
1003011201,9.6,35.0,13.6,40.0,81.8,9.7,8.4,87.4,8.0,78.3,91.8,76.1,7.0,59.1,42.2,10.9,73.7,22.6,11.5,13.5,39.8,3.3,20.5,79.5,12.4,29.3,9.7,29.8,3.3,7.8
1003011202,13.0,33.7,13.6,41.0,80.2,8.3,9.2,86.5,7.5,78.0,91.4,74.3,7.6,55.6,41.3,14.3,68.5,23.2,12.5,16.3,38.4,3.3,23.7,79.4,13.8,32.6,10.6,33.5,3.5,10.7
1003011300,11.1,31.9,15.4,37.6,79.1,8.2,8.3,87.6,6.9,76.2,91.3,75.9,6.7,59.4,45.2,13.4,72.8,23.3,10.6,13.0,38.5,2.8,20.6,78.3,13.2,30.4,9.3,31.7,2.8,8.1
1003011401,15.9,31.8,15.6,38.5,77.4,7.1,9.4,84.2,7.5,74.8,87.8,71.2,8.4,53.4,39.6,18.3,63.1,25.5,12.1,17.9,36.8,3.1,26.1,77.5,15.8,34.2,11.6,34.9,3.4,13.2
1003011403,14.4,28.9,16.8,34.5,75.8,6.8,8.9,84.3,6.5,73.7,87.7,73.4,7.0,56.2,42.0,15.5,67.2,25.3,10.2,14.7,34.9,2.7,22.7,78.4,15.3,31.8,10.0,33.2,2.8,10.5
1003011405,9.4,34.0,14.3,39.4,80.9,9.1,8.2,88.0,7.4,77.5,92.7,76.9,6.8,60.0,46.4,11.9,74.7,22.8,11.2,12.8,41.1,2.9,19.3,79.4,12.2,29.7,9.4,30.2,2.9,7.1
1003011406,13.8,25.6,18.4,30.7,72.0,5.9,8.8,85.4,5.2,71.7,86.6,73.2,5.9,57.2,43.3,15.6,68.8,25.5,8.4,12.8,32.5,2.3,20.6,77.7,15.4,30.5,8.9,33.2,2.3,9.8
1003011407,11.5,33.9,15.1,39.1,79.6,8.4,8.8,86.2,7.7,76.3,90.0,74.3,7.9,57.1,43.1,15.0,69.9,24.6,11.6,14.9,39.2,3.1,22.3,78.1,14.2,31.6,10.6,32.6,3.2,9.6
1003011408,10.1,39.9,12.7,45.2,83.5,10.2,8.6,86.4,9.3,79.5,93.5,75.9,9.1,57.6,44.9,14.2,71.7,23.6,13.8,16.1,44.6,3.6,23.1,77.5,12.7,32.1,11.6,31.5,3.7,8.7
1003011501,15.2,35.9,13.9,41.7,80.7,8.9,9.2,83.7,9.0,77.1,89.6,72.5,9.3,54.9,38.1,16.4,64.6,24.8,13.2,18.5,39.1,3.7,27.1,76.8,15.1,33.0,12.2,33.7,4.0,13.1
1003011502,18.7,31.8,15.1,38.6,77.4,7.2,9.6,83.6,7.6,75.0,87.4,72.2,8.6,53.2,38.9,18.1,61.5,25.4,12.4,19.0,36.3,3.2,27.7,77.0,16.3,34.2,11.9,35.6,3.6,14.4
1003011601,15.6,33.8,15.6,39.3,77.9,7.5,9.5,83.7,8.1,74.5,88.1,70.7,9.5,53.2,38.6,19.7,62.5,26.7,12.3,18.8,38.4,3.2,26.8,76.4,16.3,33.8,12.4,34.7,3.6,14.1
1003011602,13.1,43.9,11.2,49.8,85.6,11.5,8.7,84.1,12.1,80.6,92.5,74.3,11.6,55.3,39.8,15.7,65.5,23.1,16.5,20.8,45.7,4.5,28.9,76.1,13.1,32.7,13.6,31.9,5.1,13.1
1005950100,20.3,35.8,11.9,48.4,81.0,6.5,11.1,82.6,8.5,78.2,88.9,71.5,10.7,38.5,35.0,23.5,52.6,23.9,17.2,26.5,38.2,4.1,34.5,78.6,16.8,45.8,15.0,42.1,5.1,22.1
1005950200,27.8,29.4,14.7,46.9,72.9,4.5,11.0,80.7,7.7,74.0,83.4,67.7,10.5,31.9,29.7,30.9,40.7,23.1,16.1,30.4,33.2,3.8,37.9,78.2,18.3,49.2,15.7,46.4,5.0,31.5
1005950300,25.8,41.7,10.2,54.8,83.1,7.4,12.2,79.5,12.0,79.4,87.5,67.8,15.5,34.0,29.6,28.9,42.4,24.9,21.9,36.5,41.2,5.6,43.5,78.1,18.3,48.6,19.8,43.6,7.4,32.9
1005950400,28.1,31.3,14.5,46.1,75.0,5.1,10.6,78.5,8.5,73.4,84.0,65.9,11.4,34.6,30.3,29.7,42.6,23.9,16.2,30.3,35.4,3.9,37.9,76.1,17.9,47.6,16.2,43.9,5.0,29.4
1005950500,20.0,36.4,13.0,45.5,80.4,7.2,10.6,81.4,9.2,75.8,87.5,71.3,11.7,40.6,36.4,24.0,54.1,26.0,15.4,25.1,39.7,3.9,32.9,76.5,17.0,42.3,15.1,38.9,4.7,21.1
1005950600,21.9,35.2,12.6,46.7,78.8,6.0,11.7,80.7,8.7,76.4,85.8,69.1,12.0,35.3,32.5,27.4,48.0,26.3,16.6,28.7,37.1,4.1,36.5,77.4,18.8,46.4,16.3,42.7,5.2,26.2
1005950700,22.5,40.4,10.2,52.5,82.9,7.9,12.0,81.8,10.9,80.0,88.5,70.5,13.4,34.8,29.7,24.0,48.3,24.3,19.8,32.0,39.8,5.4,38.9,78.0,17.3,45.7,17.6,41.5,6.8,27.9
1005950800,17.7,35.8,11.7,46.3,81.4,7.5,10.5,83.6,8.7,78.5,89.2,73.0,10.0,41.2,35.7,19.6,57.7,23.3,15.3,23.2,38.3,4.0,31.5,78.7,15.6,41.4,13.6,38.7,4.7,18.6
